iter	Passed	Remaining
398	1806	2721
399	1808	2712
400	1809	2702
401	1812	2695
402	1813	2686
403	1815	2677
404	1816	2668
405	1817	2659
406	1818	2649
407	1819	2640
408	1820	2631
409	1822	2622
410	1823	2613
411	1824	2604
412	1827	2597
413	1829	2589
414	1830	2580
415	1832	2572
416	1833	2564
417	1835	2555
418	1836	2546
419	1837	2537
420	1838	2528
421	1839	2519
422	1842	2513
423	1843	2504
424	1845	2496
425	1846	2487
426	1847	2478
427	1848	2470
428	1849	2462
429	1851	2453
430	1852	2445
431	1853	2437
432	1854	2428
433	1857	2422
434	1858	2414
435	1860	2406
436	1861	2398
437	1862	2389
438	1863	2381
439	1864	2373
440	1865	2365
441	1867	2357
442	1868	2349
443	1869	2341
444	1872	2335
445	1874	2327
446	1875	2319
447	1876	2312
448	1877	2304
449	1878	2296
450	1880	2288
451	1881	2280
452	1882	2273
453	1883	2265
454	1884	2257
455	1888	2252
456	1889	2244
457	1890	2237
458	1891	2229
459	1892	2221
460	1893	2214
461	1895	2206
462	1896	2199
463	1897	2192
464	1898	2184
465	1899	2177
466	1902	2171
467	1904	2164
468	1905	2157
469	1906	2150
470	1908	2143
471	1909	2135
472	1910	2128
473	1911	2121
474	1912	2114
475	1914	2107
476	1915	2100
477	1918	2095
478	1920	2088
479	1921	2081
480	1923	2075
481	1924	2068
482	1925	2061
483	1927	2054
484	1928	2047
485	1929	2040
486	1931	2034
487	1934	2029
488	1935	2022
489	1937	2016
490	1938	2009
491	1940	2003
492	1941	1997
493	1943	1990
494	1945	1984
495	1946	1977
496	1948	1972
497	1950	1965
498	1951	1959
499	1952	1952
500	1954	1946
501	1955	1939
502	1956	1933
503	1957	1926
504	1958	1920
505	1960	1913
506	1961	1907
507	1963	1902
508	1965	1895
509	1966	1889
510	1967	1882
511	1969	1876
512	1970	1870
513	1971	1864
514	1972	1857
515	1973	1851
516	1974	1845
517	1976	1838
518	1979	1834
519	1980	1828
520	1981	1821
521	1982	1815
522	1984	1809
523	1985	1803
524	1986	1797
525	1987	1791
526	1988	1785
527	1990	1778
528	1991	1772
529	1994	1768
530	1995	1762
531	1996	1756
532	1998	1751
533	2000	1745
534	2001	1739
535	2002	1733
536	2003	1727
537	2004	1721
538	2005	1715
539	2009	1711
540	2010	1705
541	2011	1700
542	2013	1694
543	2014	1688
544	2015	1683
545	2017	1677
546	2018	1671
547	2019	1665
548	2020	1659
549	2022	1654
550	2024	1649
551	2026	1644
552	2027	1638
553	2029	1633
554	2030	1627
555	2031	1622
556	2033	1617
557	2034	1611
558	2035	1605
559	2038	1601
560	2040	1596
561	2041	1590
562	2042	1585
563	2043	1579
564	2044	1574
565	2045	1568
566	2047	1563
567	2048	1557
568	2049	1552
569	2051	1547
570	2054	1543
571	2055	1537
572	2056	1532
573	2057	1527
574	2059	1522
575	2060	1516
576	2061	1511
577	2062	1506
578	2063	1500
579	2065	1495
580	2066	1490
581	2069	1486
582	2071	1481
583	2072	1476
584	2073	1471
585	2074	1465
586	2075	1460
587	2077	1455
588	2078	1450
589	2079	1445
590	2080	1440
591	2083	1436
592	2085	1431
593	2086	1426
594	2087	1420
595	2088	1415
596	2089	1410
597	2091	1405
598	2092	1400
599	2093	1395
600	2094	1390
601	2095	1385
602	2097	1380
603	2099	1376
604	2100	1371
605	2101	1366
606	2103	1361
607	2104	1357
608	2106	1352
609	2107	1347
610	2108	1342
611	2110	1337
612	2111	1332
613	2114	1329
614	2115	1324
615	2117	1319
616	2118	1315
617	2120	1310
618	2121	1305
619	2123	1301
620	2124	1296
621	2125	1291
622	2126	1287
623	2129	1283
624	2131	1278
625	2132	1273
626	2133	1269
627	2134	1264
628	2135	1259
629	2137	1255
630	2138	1250
631	2139	1245
632	2141	1241
633	2142	1236
634	2144	1232
635	2145	1227
636	2146	1223
637	2147	1218
638	2149	1214
639	2150	1209
640	2151	1205
641	2152	1200
642	2153	1195
643	2155	1191
644	2156	1187
645	2158	1182
646	2159	1178
647	2160	1173
648	2162	1169
649	2163	1164
650	2165	1160
651	2166	1156
652	2167	1151
653	2168	1147
654	2170	1143
655	2172	1139
656	2174	1135
657	2175	1130
658	2176	1126
659	2177	1121
660	2179	1117
661	2181	1113
662	2182	1109
663	2183	1105
664	2185	1100
665	2188	1097
666	2189	1093
667	2190	1088
668	2191	1084
669	2193	1080
670	2194	1075
671	2195	1071
672	2196	1067
673	2197	1063
674	2199	1058
675	2200	1054
676	2203	1051
677	2204	1047
678	2206	1042
679	2207	1038
680	2208	1034
681	2209	1030
682	2210	1026
683	2212	1021
684	2213	1017
685	2214	1013
686	2215	1009
687	2219	1006
688	2225	1004
689	2226	1000
690	2228	996
691	2229	992
692	2230	988
693	2233	984
694	2235	980
695	2236	976
696	2237	972
697	2238	968
698	2240	964
699	2241	960
700	2242	956
701	2243	952
702	2245	948
703	2246	944
704	2249	941
705	2250	937
706	2251	933
707	2253	929
708	2254	925
709	2255	921
710	2256	917
711	2257	913
712	2259	909
713	2260	905
714	2261	901
715	2264	898
716	2265	894
717	2267	890
718	2268	886
719	2269	882
720	2270	878
721	2271	874
722	2273	870
723	2274	867
724	2276	863
725	2280	860
726	2282	857
727	2284	853
728	2285	849
729	2286	845
730	2287	841
731	2289	838
732	2290	834
733	2293	831
734	2295	827
735	2297	824
736	2303	821
737	2304	818
738	2305	814
739	2307	810
740	2310	807
741	2312	803
742	2313	800
743	2315	796
744	2316	792
745	2317	789
746	2319	785
747	2320	781
748	2321	778
749	2324	774
750	2326	771
751	2327	767
752	2328	763
753	2330	760
754	2332	756
755	2333	753
756	2334	749
757	2336	745
758	2339	742
759	2340	739
760	2342	735
761	2343	731
762	2344	728
763	2345	724
764	2347	721
765	2348	717
766	2349	713
767	2350	710
768	2352	706
769	2354	703
770	2356	699
771	2357	696
772	2358	692
773	2359	689
774	2361	685
775	2363	682
776	2364	678
777	2365	675
778	2367	671
779	2369	668
780	2371	664
781	2373	661
782	2375	658
783	2376	654
784	2378	651
785	2380	648
786	2381	644
787	2384	641
788	2386	638
789	2387	634
790	2389	631
791	2390	627
792	2393	624
793	2394	621
794	2396	617
795	2400	615
796	2401	611
797	2403	608
798	2404	604
799	2406	601
800	2408	598
801	2410	595
802	2411	591
803	2414	588
804	2416	585
805	2417	581
806	2419	578
807	2420	575
808	2422	571
809	2423	568
810	2424	565
811	2426	561
812	2429	558
813	2430	555
814	2431	551
815	2433	548
816	2434	545
817	2435	541
818	2436	538
819	2438	535
820	2439	531
821	2440	528
822	2443	525
823	2445	522
